Artist,Year,Title,Date,Medium,Acquisition Date,Department,Classification,Nationality,Gender,Birth Year,Death Year
Louise Bourgeois,2006,"Homely Girl, A Life, volume I and II",1992,Two volume illustrated book,1993-01-18,Prints & Illustrated Books,Illustrated Book,American,Female,1911,2010
Victor Brauner,2006,Bestiaire,1963,Silkscreen,1967-10-18,Architecture & Design,Design,Romanian,Male,1903,1966
Aino Aalto,2006,Tumbler,1932,Pressed glass,1983-05-17,Architecture & Design,Design,Finnish,Female,1894,1949
Alvar Aalto,2006,"Church of the Three Crosses, Vuoksenniska, Imatra, Finland",1955,"Plastic, cardboard, and synthetic polymer paint",2000-06-30,Architecture & Design,Architecture,Finnish,Male,1898,1976
Robert Adams,2006,"Outdoor Theater and Cheyenne Mountain, Colorado Springs, Colorado",1968,Gelatin silver print,1970-03-04,Photography,Photograph,American,Male,1937,
Diane Arbus,2006,"Four People at a Gallery Opening, New York City",1968,Gelatin silver print,1994-01-13,Photography,Photograph,American,Female,1923,1971
Roy Arden,2006,Terminal City,1999,Gelatin silver prints,2004-10-13,Photography,Photograph,Canadian,Male,1957,
John Armleder,2006,Untitled (for Parkett no. 50/51),1997,Multiple of Perspex object in flourescent orange,1998-03-05,Prints & Illustrated Books,Multiple,Swiss,Male,1948,
Matthew Barney,2006,Drawing Restraint 7,1995,Artist's book with plastic clip,1997-03-06,Prints & Illustrated Books,Illustrated Book,American,Male,1967,
Paul Chan,2006,Deadman 1-5,2003,Series of five digital prints,2004-03-11,Prints & Illustrated Books,Print,Chinese,Male,1973,
John Currin,2006,Charlie Rose Guest,1998,Gouache on paper,2001-05-08,Drawings,Drawing,American,Male,1962,
Hong Hao,2006,The World Map A,2000,Screenprint,2004-03-11,Prints & Illustrated Books,Print,Chinese,Male,1965,
Jean (Hans) Arp,2006,Collages 1912 - 1955,1955,Lithograph,1956-04-04,Architecture & Design,Design,French,Male,1886,1966
Johannes Baader,2006,"The Author of the Book ""Fourteen Letters of Christ"" in His Home",1920,"Cut-and-pasted gelatin silver prints, cut-and-pasted printed paper, and ink on book pages",1937-12-03,Drawings,Drawing,German,Male,1875,1955
Johannes Theodor Baargeld (Alfred Emanuel Ferdinand Gruenwald),2006,Factory,1920,Ink and crayon on paper,1962-01-09,Drawings,Drawing,German,Male,1892,1927
Hugo Ball,2006,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Richard Boix,2006,Da-Da (New York Dada Group),1921,Ink on paper,1953-04-07,Drawings,Drawing,Spanish,Male,1894,1949
Eduardo Del Valle,2006,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Olafur Eliasson,2006,Eye Eye (for Parkett no. 64),2002,"Multiple of iris shutter, mirror, and wood",2003-03-11,Prints & Illustrated Books,Print,Icelandic,Male,1967,
Noriko Furunishi,2006,Untitled (Tecopa G),2005,Chromogenic color print,2006-01-11,Photography,Photograph,Japanese,Female,1966,
David Goldblatt,2006,"Soweto, South Africa",1970,Gelatin silver print,1978-05-11,Photography,Photograph,South African,Male,1930,
Mirta Gómez,2006,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Richard Artschwager,2006,Umble #2,1970,Charcoal on paper,1970-05-12,Drawings,Drawing,American,Male,1923,2013
Jennifer Bartlett,2006,"Black, Gray, White from the portfolio Art Pro Choice II",1991,Woodcut,1999-11-18,Prints & Illustrated Books,Print,American,Female,1941,
Jake Berthot,2006,For Adorno #1,1989,Ink and crayon on paper,1989-05-08,Drawings,Drawing,American,Male,1939,2014
Vija Celmins,2006,"WHALE (plate, folio 9 verso) from A BESTIARY",1990,"Woodcut, printed in black",1991-01-23,Prints & Illustrated Books,Illustrated Book,American,Female,1938,
Sue Coe,2006,Nicaragua,1987,Etching,1988-05-04,Prints & Illustrated Books,Print,British,Female,1951,
Ghada Amer,2006,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Jananne Al-Ani,2006,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Kutlug Ataman,2006,Never My Soul (single screen version),2001,"Video (color, sound)",2004-04-13,Media and Performance Art,Video,Turkish,Male,1961,
The Atlas Group/Walid Raad,2006,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Mona Hatoum,2006,Rubber Mat,1996,Multiple of rubber silicon,1999-03-04,Prints & Illustrated Books,Print,British,Female,1952,
John Szarkowski,2006,"Prudential (Guaranty) Building, Capital",1951,Gelatin silver print,1959-04-22,Photography,Photograph,American,Male,1925,2007
Edvard Munch,2006,The Scream,1896,Lithograph,1960-02-10,Prints & Illustrated Books,Print,Norwegian,Male,1863,1944
"Abalos&Herreros, Madrid",2006,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Iñaki Ábalos,2006,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
"Acconci Studio, New York",2006,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Victoria Acebo,2006,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
"Acebo X Alonso Arquitectos, Madrid",2006,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Kai Althoff,2006,Untitled,2001,"Lacquer, watercolor, and varnish on two sheets of paper mounted on canvas",2003-05-13,Drawings,Drawing,German,Male,1966,
Aleksandr Archipenko,2006,"Plate 2 from FUTURISTI, ASTRATTISTI, DADAISTI, PRECURSORI DELL' AVANGUARDIA, Volume 1/FUTURISTS, ABSTRACTIONISTS, DADAISTS, THE FORERUNNERS OF THE",1962,"Etching, printed in black",1967-06-06,Prints & Illustrated Books,Illustrated Book,American,Male,1887,1964
Leon Bakst,2006,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Georg Baselitz,2006,Plate I (frontispiece) from BING,1991,"Drypoint, printed in black",1993-01-18,Prints & Illustrated Books,Illustrated Book,German,Male,1938,
Umberto Boccioni,2006,Study for Portrait of Ferrucio Busoni,1916,Pen and ink on paper,1952-01-22,Drawings,Drawing,Italian,Male,1882,1916
Ernesto Caivano,2006,Waterfalls above Clouds,2004,Ink on paper,2005-05-10,Drawings,Drawing,Spanish,Male,1972,
Dinos Chapman,2006,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Jake Chapman,2006,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Salvador Dalí,2006,Onan,1934,"Illustrated book with one photogravure, aquatint, and drypoint with roulette",1971-03-30,Prints & Illustrated Books,Illustrated Book,Spanish,Male,1904,1989
Marina Abramović,2006,Performance Edition,1994,Twelve framed gelatin silver prints with letterpress text panels,2011-12-13,Media and Performance Art,Photograph,Yugoslav,Female,1946,
Alighiero Boetti,2006,Probing The Mysteries of a Double Life (for Parkett no. 24),1990,"Collotype, with gouache additions",1998-03-05,Prints & Illustrated Books,Print,Italian,Male,1940,1994
Christopher Bucklow,2006,"Untitled, 2:11 p.m., 27th July, 1991",1991,Gelatin silver print,1999-10-14,Photography,Photograph,British,Male,1957,
James Lee Byars,2006,Untitled Object,1962,"Crayon on Japanese paper, joined and folded",1965-02-09,Drawings,Drawing,American,Male,1932,1997
Emilio Ambasz,2006,"Center for Applied Computer Research, Las Promesas, Mexico, Site plan",1975,Ink and photostat on acetate,1992-01-15,Architecture & Design,Architecture,Argentine,Male,1943,
Preston Scott Cohen,2006,"Torus House, Old Chatham, New York (Scale model, 1999)",2003,"Laser-cut paper laminate, epoxy resin, paint, and wood laminate",2001-10-09,Architecture & Design,Architecture,American,Male,1961,
Elizabeth Diller,2006,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Diller + Scofidio,2006,"Eyebeam Museum of Art and Technology Project, New York, New York, Scale model 1/8""=1'0""",2001,"Plastic, plexiglass, styrene, cold rolled steel, video camera, DVD player, video effects unit",2006-10-03,Architecture & Design,Architecture,American,Unknown,1979,
Chris Dondorp,2006,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Mark Adams,2006,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Neftali Alvarez,2006,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Mark Andrews,2006,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Chris Bernardi,2006,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Randy Berrett,2006,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Odilon Redon,2006,The Chimeras,1889,Illustrated book with 1 lithograph on chine appliqué; cover and additional prints by various artists,2000-03-02,Prints & Illustrated Books,Illustrated Book,French,Male,1840,1916
Michael Snow,2005,Shot!,1963,63 rubber stamped sheets mounted on board,1964-04-14,Prints & Illustrated Books,Print,Canadian,Male,1929,
Sam Taylor-Wood,2005,Five Revolutionary Seconds XIV (Sketch) (for Parkett no. 55),1999,Chromogenic color print,1999-11-18,Prints & Illustrated Books,Print,British,Female,1967,
Josephine Meckseper,2009,"Blow-Up (Michelli, Knee-Highs)",2006,Chromogenic color print,2008-11-12,Photography,Photograph,German,Female,1964,
Mikhael Subotzky,2009,"076: Cell 33, E2 Section, Pollsmoor Maximum Security Prison",2004,Pigmented inkjet print,2006-01-11,Photography,Photograph,South African,Male,1981,
Bernd Becher,2008,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Hilla Becher,2008,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Ansel Adams,2009,New Mexico,1933,Gelatin silver print,1939-01-06,Photography,Photograph,American,Male,1902,1984
Robert Adams,2009,"Outdoor Theater and Cheyenne Mountain, Colorado Springs, Colorado",1968,Gelatin silver print,1970-03-04,Photography,Photograph,American,Male,1937,
Diane Arbus,2009,"Four People at a Gallery Opening, New York City",1968,Gelatin silver print,1994-01-13,Photography,Photograph,American,Female,1923,1971
Richard Avedon,2009,John Lennon,1967,Offset lithograph,1988-04-27,Architecture & Design,Design,American,Male,1923,2004
John Baldessari,2009,"The Life and Opinions of Tristram Shandy, Gentleman",1988,Illustrated book of three volumes including accordion-folded artist's book with fifty-eight photolithographs,1989-01-18,Prints & Illustrated Books,Illustrated Book,American,Male,1931,
Sonia Delaunay-Terk,2009,"Sonia Delauney, Städt. Kunsthaus Bielefeld, 14.9.-26.10.1958",1958,Silkscreen,1960-04-06,Architecture & Design,Design,French,Female,1885,1979
Hélène Diebold,2009,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Pierre Missey,2009,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Charlotte Perriand,2009,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
"Ateliers Jean Prouvé, Nancy, France",2009,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Josef Albers,2008,Tea Glass with Saucer and Stirrer,1925,"Heat-resistant glass, chrome-plated steel, ebony, and porcelain",1957-05-15,Architecture & Design,Design,American,Male,1888,1976
Jean (Hans) Arp,2008,Collages 1912 - 1955,1955,Lithograph,1956-04-04,Architecture & Design,Design,French,Male,1886,1966
Jo Baer,2008,Rook,1962,Gouache and pencil on paper,1999-10-21,Drawings,Drawing,American,Female,1929,
Georges Braque,2008,"Exposition, Galerie Maeght",1959,Lithograph in six colors,1960-04-06,Architecture & Design,Design,French,Male,1882,1963
Daniel Buren,2008,Legend I/Légend I/Bildtext I and Legend II/Légende II/Bildtext II,1970,410 photolithographic reproductions after photographs taken by Michel Cenet of Buren installations in Paris Metro stations,1982-01-21,Prints & Illustrated Books,Illustrated Book,French,Male,1938,
Pablo Picasso,2008,"Picasso, ""Les Menines,"" Galerie Louise Leiris",1959,Lithograph,1960-04-06,Architecture & Design,Design,Spanish,Male,1881,1973
Carlos Garaicoa,2006,Untitled (L.A.),2004,"Gelatin silver prints, thread and pins",2005-05-11,Photography,Photograph,Cuban,Male,1967,
Phillip Pisciotta,2006,"David ""Chick"" Chicone, Portland, Maine",1999,Chromogenic color print,2005-10-20,Photography,Photograph,American,Male,1970,
Robin Rhode,2006,Stone Flag,2004,Nine chromogenic color prints,2004-10-13,Photography,Photograph,South African,Male,1976,
Bertien van Manen,2006,Novokuznetsk (coffin from above),1991,Chromogenic color print,1996-06-13,Photography,Photograph,Dutch,Female,1942,
Elizabeth Murray,2006,Plate 1 (folio 4) from HER STORY,1990,Unknown,1991-02-23,Prints & Illustrated Books,Illustrated Book,American,Female,1940,2007
Willem de Kooning,2006,de Kooning,1965,Lithograph,1965-11-09,Architecture & Design,Design,American,Male,1904,1997
Robert Delaunay,2006,Soirée du Coeur à Barbe,1923,Lithograph,1987-11-18,Architecture & Design,Design,French,Male,1885,1941
Jean Dubuffet,2006,"J. Dubutfet, Ustensiles, Demeures Escaliers, Galerie Jeanne Bucher, Juin, Juillet, 1967",1967,Offset lithograph,1968-03-07,Architecture & Design,Design,French,Male,1901,1985
Franz Ackermann,2006,and she stepped in and couldn't believe what she'd seen - myself as a king-corrupted,2001,Pencil and synthetic polymer paint on paper,2001-10-11,Drawings,Drawing,German,Male,1963,
D-L Alvarez,2006,\\\,2003,Pencil on paper,2004-05-11,Drawings,Drawing,American,Male,1965,
Janine Antoni,2006,Gnaw,1992,"Three-part installation: 600 lbs. of chocolate gnawed by the artist; 600 lbs. of lard gnawed by the artist; display with 130 lipsticks made with pigment, beeswax, and chewed lard removed from the lard cube; 27 heart-shaped packages made from the chewed chocolate removed from the chocolate cube",2000-11-06,Painting & Sculpture,Installation,Bahamian,Female,1964,
Frank Auerbach,2006,Head of Catherine Lampert VI,1979,Charcoal and chalk on paper,1981-11-13,Drawings,Drawing,British,Male,1931,
3M,2006,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Deborah Adler,2006,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Yoko Akai,2006,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Alloy Ltd. Total Product Design,2006,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
American Red Cross Oregon Trail Chapter,2006,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Diller Scofidio + Renfro,2005,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
"James Corner, Field Operations, New York",2005,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Joel Sternfeld,2005,"McLean, Virginia",1978,"Dye transfer print, printed 1983",1984-03-15,Photography,Photograph,American,Male,1944,
Pierre Alechinsky,2005,Vacillations,1979,34 lithographs and supplementary suite with 16 lithograph and pochoirs and 2 lithographs,1988-01-19,Prints & Illustrated Books,Illustrated Book,Belgian,Male,1927,
Pierre Bonnard,2005,"Solfège, preliminary cover design for Petit Solfège Illustré",1893,Lithograph with watercolor additions,1990-01-16,Prints & Illustrated Books,Illustrated Book,French,Male,1867,1947
Georges Braque,2005,"Exposition, Galerie Maeght",1959,Lithograph in six colors,1960-04-06,Architecture & Design,Design,French,Male,1882,1963
Marc Chagall,2005,"Chagall, Kunsthaus Zürich, Dezember 1950-Januar 1951",1950,Auto lithograph,1952-05-20,Architecture & Design,Design,French,Male,1887,1985
Willie Cole,2005,Stowage,1997,Woodcut,1997-03-06,Prints & Illustrated Books,Print,American,Male,1955,
Frank Gohlke,2005,"Aerial View/Trees and Field Near Tulsa, Oklahoma",1981,"Gelatin silver print, printed 1988",1998-03-12,Photography,Photograph,American,Male,1942,
Ben van Berkel,2005,"Company Centre Nijkerk Project, Nijkerk, The Netherlands",1992,"Aluminium, wood, and Plexiglass",1996-09-25,Architecture & Design,Architecture,Dutch,Male,1957,
Caroline Bos,2005,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Fernando Campana,2005,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Humberto Campana,2005,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Paul Chan,2005,Deadman 1-5,2003,Series of five digital prints,2004-03-11,Prints & Illustrated Books,Print,Chinese,Male,1973,
Paul Cézanne,2005,"Landscape at Auvers, plate I (frontispiece) from Cézanne",1914,Etching,1954-01-12,Prints & Illustrated Books,Illustrated Book,French,Male,1839,1906
Camille Pissarro,2005,Vegetable Market at Pontoise,1891,Etching and aquatint,1956-03-19,Prints & Illustrated Books,Print,French,Male,1830,1903
Jim Dine,2005,"Jim Dine - Städt-Kunsthalle Düsseldorf, 23 April - 6 Juni 1971",1971,Lithograph,1976-10-22,Architecture & Design,Design,American,Male,1935,
Lee Friedlander,2005,"New City, New York",1974,Gelatin silver print,1992-01-09,Photography,Photograph,American,Male,1934,
Xefirotarch,2005,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Chris Marker,2005,OWLS AT NOON Prelude: The Hollow Men,2005,"Two-channel video (black and white, sound; 19 min.) on eight monitors",2005-04-01,Media and Performance Art,Installation,French,Male,1921,2012
Thomas Demand,2005,Room (Zimmer),1996,Chromogenic color print,1996-12-10,Photography,Photograph,German,Male,1964,
"Abalos&Herreros, Madrid",2005,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Iñaki Ábalos,2005,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
"Alsop Ltd., London, England",2005,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
"ARUP, Manchester, England",2005,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
"Atelier Phusis, Paris",2005,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Richard Artschwager,2005,Umble #2,1970,Charcoal on paper,1970-05-12,Drawings,Drawing,American,Male,1923,2013
Georg Baselitz,2005,Plate I (frontispiece) from BING,1991,"Drypoint, printed in black",1993-01-18,Prints & Illustrated Books,Illustrated Book,German,Male,1938,
Joseph Beuys,2005,Zeichnungen von 1949-1969,1969,Illustrated book with 57 photolithographic reproductions of drawings,1982-01-21,Prints & Illustrated Books,Illustrated Book,German,Male,1921,1986
